OpenSSL,https://www.openssl.org/source/license.html,OpenSSL license
YARA,https://github.com/VirusTotal/yara/blob/master/LICENSE,BSD-3 Clause License
github.com/Codehardt/mmap-go,Unknown,BSD-3-Clause
github.com/Microsoft/go-winio/pkg,Unknown,MIT
github.com/capnspacehook/taskmaster,Unknown,MIT
github.com/cespare/xxhash/v2,Unknown,MIT
github.com/edsrzf/mmap-go,Unknown,BSD-3-Clause
github.com/elastic/go-ucfg,Unknown,Apache-2.0
github.com/fatih/color,Unknown,MIT
github.com/fsnotify/fsnotify,Unknown,BSD-3-Clause
github.com/go-ole/go-ole,Unknown,MIT
github.com/gonutz/w32/v2,Unknown,BSD-3-Clause
github.com/gonutz/w32/v2,Unknown,MIT
github.com/google/pprof/profile,Unknown,Apache-2.0
github.com/hashicorp/errwrap,Unknown,MPL-2.0
github.com/hashicorp/go-multierror,Unknown,MPL-2.0
github.com/hashicorp/golang-lru,Unknown,MPL-2.0
github.com/hashicorp/golang-lru/v2,Unknown,MPL-2.0
github.com/hashicorp/golang-lru/v2/simplelru,Unknown,BSD-3-Clause
github.com/hillu/go-yara/v4,Unknown,BSD-2-Clause
github.com/inconshreveable/mousetrap,Unknown,Apache-2.0
github.com/joeshaw/multierror,Unknown,MIT
github.com/kardianos/service,Unknown,Zlib
github.com/marcsauter/single,Unknown,MIT
github.com/mattn/go-colorable,Unknown,MIT
github.com/mattn/go-isatty,Unknown,MIT
github.com/mitchellh/mapstructure,Unknown,MIT
github.com/pkg/errors,Unknown,BSD-2-Clause
github.com/rickb777/date/period,Unknown,BSD-3-Clause
github.com/rickb777/plural,Unknown,BSD-3-Clause
github.com/saferwall/pe,Unknown,MIT
github.com/secDre4mer/beats/v7,Unknown,Apache-2.0
github.com/secDre4mer/beats/v7,Unknown,BSD-2-Clause
github.com/secDre4mer/beats/v7,Unknown,BSD-3-Clause
github.com/secDre4mer/beats/v7,Unknown,EPL-1.0
github.com/secDre4mer/beats/v7,Unknown,ISC
github.com/secDre4mer/beats/v7,Unknown,MIT
github.com/secDre4mer/beats/v7,Unknown,MPL-2.0
github.com/secDre4mer/beats/v7,Unknown,UPL-1.0
github.com/secDre4mer/beats/v7,Unknown,X11-Lucent
github.com/secDre4mer/etw,Unknown,MIT
github.com/secDre4mer/go-cpulimit,Unknown,MIT
github.com/secDre4mer/go-parseflags,Unknown,BSD-3-Clause
github.com/shirou/gopsutil/v3,Unknown,BSD-3-Clause
github.com/sirupsen/logrus,Unknown,MIT
github.com/spf13/cobra,Unknown,Apache-2.0
github.com/spf13/pflag,Unknown,BSD-3-Clause
github.com/yusufpapurcu/wmi,Unknown,MIT
go,https://github.com/golang/go/blob/master/LICENSE,BSD 3-Clause License
go.elastic.co/ecszap,Unknown,Apache-2.0
go.mozilla.org/pkcs7,Unknown,MIT
go.uber.org/atomic,Unknown,MIT
go.uber.org/multierr,Unknown,MIT
go.uber.org/zap,Unknown,MIT
golang.org/x/sys,Unknown,BSD-3-Clause
golang.org/x/text,Unknown,BSD-3-Clause
golang.org/x/time/rate,Unknown,BSD-3-Clause
gopkg.in/natefinch/npipe.v2,Unknown,MIT
gopkg.in/yaml.v2,Unknown,Apache-2.0
gopkg.in/yaml.v3,Unknown,MIT
